"photo","name","cuisine","address","averagePrice","ratingValue","reviewCount","url","offer","tags/0","tags/1","tags/2","tags/3","tags/4","tags/5","tags/6","tags/7"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b023057f-baa7-4126-a08f-cea34b7c391c/7e8a0fdd-fa81-4f2a-901e-69e4da623eb2.jpg","Farm Village Lounge Bar & Restaurant","Mediterranean","R. Q.ta dos Caliços,8200,Albufeira","20","9.1","378","https://www.thefork.com/restaurant/farm-village-lounge-bar-restaurant-r690899","30% off the 'a la carte' menu","Mediterranean",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/f7d03188-a547-4385-b2dc-1047dc4c0fc3/b24bbcf2-90a4-465e-8126-90fb7e5b7459.jpg","Mato à Vista","Portuguese","Cabanita CP221P, Estr. do Foral,,8200-461,Albufeira","35","9.4","715","https://www.thefork.com/restaurant/mato-a-vista-r312853",,"INSIDER","Portuguese",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/7733dcfd-d9ef-4316-a95e-f8dcf42c93db/474141e5-7bd4-4db7-9eea-6669bc6a34fe.jpg","MnM Kitchen","Nepalese","R. das Telecomunicações 14,8200-184,Albufeira","12","8.8","186","https://www.thefork.com/restaurant/mnm-kitchen-r750891","30% off the 'a la carte' menu","Nepalese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b93ed022-be7c-493c-a5e9-9037bdd42c77/ede49b75-687e-4863-8e66-ed2f6d271e21.jpg","Appetito Pizza Bar","Italian","R. Gen. Humberto Delgado n62,8200-061,Albufeira","16","9.2","237","https://www.thefork.com/restaurant/appetito-pizza-bar-r650787",,"YUMS x2","Italian",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/ba2712e1-3de9-4c6d-923e-321235f02e00/b0894e3f-d011-4534-a062-af61db1e1f25.jpg","Passionné","French","17 Rue Bergère,75009,Paris","55","9.8","2575","https://www.thefork.com/restaurant/passionne-r732903","Instant MICHELIN €131","YUMS x2","MICHELIN","INSIDER","French",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/7f1912ec-ed09-424c-9b3e-0d80c882708f/a39b3d57-0d06-495a-b979-837bcc5d7b68.jpg","Restaurante Bom Apetite","Portuguese","Estr. de Santa Eulália, urb telhas verdes, lote 2, loja AB,8200-291,Albufeira","17","8.6","386","https://www.thefork.com/restaurant/restaurante-bom-apetite-r665525","-30% sobre a ementa!","Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/2b83e1be-cb95-4660-9336-34489e1d45f5/c4874169-bdcc-4488-b8a7-da64574c9379.jpg","To Restaurant","French","34 Rue Beaurepaire,75010,Paris","45","9.7","4486","https://www.thefork.com/restaurant/to-restaurant-r650337","Instant MICHELIN €112","YUMS x2","MICHELIN","INSIDER","French",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/9d0034b7-5b8f-494b-90cd-f1b4243c2184/cb323e84-7450-4d51-ac5a-bfcd8cc5bdc0.jpg","Pizzeria Ristorante Capri","Italian","Estrada do Alfamar- Varzea de Quarteira 953-A,8200-604,Albufeira","15","8.7","710","https://www.thefork.com/restaurant/pizzeria-ristorante-capri-r593541","30% off the 'a la carte' menu","Italian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/38a0b39c-57c8-466a-be66-8abf6954586d/e8ec8cdd-575c-4b09-84c2-6ba2daf05142.jpg","Le Puits du Trésor","French","21 Route des 4 Châteaux,11600,Lastours","61","9.6","260","https://www.thefork.com/restaurant/le-puits-du-tresor-r529","Instant MICHELIN €69","YUMS x2","MICHELIN","INSIDER","French",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/3c5ab9f3-2781-4178-bdf0-d37ad6316a0d/ba2f5522-3004-49ca-82f4-962f93ec7f87.jpg","Lienzo*","Mediterranean","Plaça de Tetuan, 18,46003,Valencia","85","9.7","1448","https://www.thefork.com/restaurant/lienzo-r11323","TRAZOS (Menú del día) |. €60","YUMS x2","MICHELIN","PAY","INSIDER","Gift cards","Mediterranean","Accepting my yums","Welcome"
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/7b05f650-4d2b-4eb6-9758-91482509c26e/47f559d6-883e-45b8-830f-40ce97627a6c.jpg","Donaldo's","European","Av. Infante Dom Henrique 4,8200-261,Albufeira","18","9.5","381","https://www.thefork.com/restaurant/donaldo-s-r384377",,"European","Accepting my yums",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/19ee9500-1aff-40d1-b675-06863fa939e0/9b88068c-3e39-43bd-9fa2-6c39e3923825.jpg","Café Oceano Restaurante","Mediterranean","Largo Cais Herculano nº 12,8200-061,Albufeira","25","9.3","149","https://www.thefork.com/restaurant/cafe-oceano-restaurante-r657093",,"Mediterranean",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/af1b842a-1244-47ba-b4e8-c427cb048f23/ae3755ae-9093-40fa-bef5-34fb7191f645.jpg","Seven Park Place by William Drabble","French","7-8 Park Place,SW1A 1LS,London","125","9.5","177","https://www.thefork.com/restaurant/seven-park-place-by-william-drabble-r604189","MICHELIN Special £120","YUMS x2","MICHELIN","French","Accepting my yums",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/56b41e5a-3097-421f-a066-854c07a82e91/ede2d562-7c73-49fa-8056-f4dac837774c.jpg","The Market Restaurant","International","AV SÁ CARNEIRO Nº1,8200-340,Albufeira","25","9.4","668","https://www.thefork.com/restaurant/the-market-restaurant-r307151",,"International",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b3f3e6f0-6c56-4de1-9759-ea83731297c5/6d8e1f81-04d9-42f1-aba9-0dff0c8d51c8.jpg","Audrey's","Spanish","Av. Juan Carlos I, 48,03710,Calpe","90","9.4","198","https://www.thefork.com/restaurant/audrey-s-r375595","MICHELIN Special €95","YUMS x2","MICHELIN","INSIDER","Spanish","Welcome",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/4650b80b-a17b-4c6f-9a48-1b6c76d34c45/889bafb5-fbda-4969-ab63-66445578283f.jpg","Gaucho - Leeds","Steakhouse","21-22 Park Row,LS1 5JF,Leeds","41","9.4","98","https://www.thefork.com/restaurant/gaucho-leeds-r602971","TheFork Summer - Exclusive Menu £45","YUMS x2","Steakhouse","Accepting my yums",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/96f490e9-c1fc-471f-bba1-412d4788b8f3/4df71245-5cd4-414a-b4aa-da2feb5f9dd2.jpg","Hamburgueria da Baixa Albufeira","Portuguese","Av. dos Descobrimentos 5,8200-285,Albufeira","15","9.3","89","https://www.thefork.com/restaurant/hamburgueria-da-baixa-albufeira-r801494",,"Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8a5457ee-43c7-42ed-8b86-c7eb8dfbc7bc/3e034bc9-a51b-4619-b7ba-8a0ca9eb753d.jpg","La Bastide","French","84480,84480,Bonnieux","150","9.3","104","https://www.thefork.com/restaurant/la-bastide-r5052","Instant MICHELIN €120","YUMS x2","MICHELIN","INSIDER","PAY","Gift cards","French",,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/1600d022-9b5d-4a98-9714-88a3dcb9f8a0/78ad39a8-a553-434b-ba5b-d1ea7e0e55d1.jpg","La Table du Caviste Bio","French","55 Rue de Prony,75017,Paris","66","9.4","916","https://www.thefork.com/restaurant/la-table-du-caviste-bio-r302093","Instant MICHELIN €79","YUMS x2","MICHELIN","INSIDER","Eco-friendly","French",,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8b9bdbb7-4c86-41b2-a2d4-36cad17a1854/be284568-6f18-4af1-83a6-5e5bd0479893.jpg","The Silver Birch","British","142 Chiswick High Road,W4 1PU,London","81","9.5","70","https://www.thefork.com/restaurant/the-silver-birch-r723686","MICHELIN Special £81","YUMS x2","MICHELIN","British",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/fe397fb7-1999-4d0b-9d4e-5d452c85e1d3/dcd087e4-05fb-4ce2-b484-3424467b19d7.jpg","Yakuza by Olivier - Algarve","Japanese","Estr. das Açoteias - Pine Cliffs,8200-912,Albufeira","60","9.1","459","https://www.thefork.com/restaurant/yakuza-by-olivier-algarve-r635873",,"INSIDER","Japanese",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/d6748a71-c90c-4a3a-882a-28f9e22f6b3d/2af130bf-7cc6-485a-9641-2b295883c8a4.jpg","spice Lounge","Indian","8200-090,8200-090,Albufeira","13","9.3","124","https://www.thefork.com/restaurant/spice-lounge-r342831",,"Indian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8d95c34d-2b44-475f-9050-a844ead872be/8a2f0149-7c51-4a23-b9d1-caa136e89cc3.jpg","Restaurante Paraiso do Algarve","Portuguese","Estr. do Foral,8200-461,Albufeira","20","9.3","234","https://www.thefork.com/restaurant/restaurante-paraiso-do-algarve-r636389",,"Portuguese",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/e316654c-3282-44b3-9fcb-f2bca71bffd0/09d75591-7169-460e-b148-28089d93984f.jpg","Magenta","Fusion","23 Euston Road,NW1 2SD,London","56","9.3","140","https://www.thefork.com/restaurant/magenta-r744850","MICHELIN Special - Chefs Set Menu £65","YUMS x2","MICHELIN","Fusion","Accepting my yums",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/20cde32e-d00f-4982-92b1-97af50a97c15/7dcbec5b-1105-4122-9a68-7824831897ba.jpg","L'Accolade","French","18 Rue Porte au Berger,14000,Caen","78","9.1","1277","https://www.thefork.com/restaurant/l-accolade-r75052","Instant MICHELIN €75","YUMS x2","MICHELIN","INSIDER","French",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/d4627819-b3a6-489d-be76-2e1156f132b2/5c183ff7-5f6d-457f-8fec-61324f49aa9d.jpg","Quelque Part","French","1 Rue Ambroise Thomas,75009,Paris","80","9.5","232","https://www.thefork.com/restaurant/quelque-part-r727585","Instant MICHELIN €98","YUMS x2","MICHELIN","INSIDER","French",,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/24ff2e4d-a67b-47d5-813b-c8f6b039d0f4/d2c130fe-3cb5-43e7-9921-e06ab2de15eb.jpg","Restaurant St Bart's","British","63 Bartholomew Close,EC1A 7BG,London","140","9.8","21","https://www.thefork.com/restaurant/restaurant-st-bart-s-r729528","MICHELIN Special £140","MICHELIN","British","Accepting my yums",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/8c708468-52ac-4d1d-8519-cd6a09489c2b/4d23ec7a-2ed0-4bc9-ba35-fba60697c09b.jpg","Paper Moon","Italian","Estrada da Galé,8200-385,Albufeira","30","9.2","199","https://www.thefork.com/restaurant/paper-moon-r730521",,"Italian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/33c998ef-b9f2-4a41-bd93-8263529c10fa/76b743e8-ce2c-4479-a9e1-d4b892c4ce00.jpg","Gaucho - Hampstead","Steakhouse","64 Heath Street,NW3 6UG,London","25","9.3","152","https://www.thefork.com/restaurant/gaucho-hampstead-r602989","TheFork Summer - Exclusive Menu £45","YUMS x2","Steakhouse","Accepting my yums",,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/67684a29-c1f4-4fa5-8fd5-a260a0c10765/9bf23b32-fb2c-4fa4-8e2a-5780b2fb1aba.jpg","Paulus Pizzeria","Italian","Estr. de Santa Eulália,  Edifício Oura Casa Branca - Loja 1,8200-269,Albufeira","25","9.1","401","https://www.thefork.com/restaurant/paulus-pizzeria-r325917",,"Italian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/67f24455-a3c9-4a95-8b50-6234e2ad88fa/b49a86fb-5a87-490d-ad75-531e4dc99f19.jpg","Terrazza Del Mare","Italian","R. Alm. Gago Coutinho n.º 31,8200-089,Albufeira","18","9.2","653","https://www.thefork.com/restaurant/terrazza-del-mare-r639581",,"Italian",,,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/b8f859f7-2c9d-4ad4-9315-7e69bbfdbba9/94634c3f-7c38-4a6c-ac74-893096c04744.jpg","Johnny Hoopers Saxophone Bistro","International food","R. Almeida Garrett 30,8200-272,Albufeira","29","9.4","279","https://www.thefork.com/restaurant/johnny-hoopers-saxophone-bistro-r326461",,"INSIDER","International food",,,,,,
"https://res.cloudinary.com/tf-lab/image/upload/restaurant/17773e71-d68f-4eed-b310-25d01fff9a31/ee20ece6-4fa8-4844-8073-360a3f753e86.jpg","Castelo Beach Club","Mediterranean","R. da Torre Velha 2,8200-385,Albufeira","22","9.1","213","https://www.thefork.com/restaurant/castelo-beach-club-r731397",,"Mediterranean",,,,,,,
