chefName
 
 Pedro Fernandes & Adriano Peixoto
 Teresa 
 Teresa 
AXEL A
Aashish Salunkhe
Abel
Abel
Adelino De Sousa
Ademar Souza
Ailton Torres
Albano
Albert Lepcha
Alberto Coelho
Alessandro Olivotto com Consultadoria de Augusto Gemelli
Alessandro Valenti
Alex Davico e João Pereira
Alexandre Gulaze
Alexandre Lima
Alexandre Silva
Alfonso Cantarelli
Alice Pôla
Alice de Almeida e  Avantika Sharma
Alipio Branco
Allyson
Ana Borba
Ana Costa
Ana Leão
Ana Sousa e Bárbara Tomé
Anacleto Pereira
Andrea Cardoso
Andrea Cardoso 
Andrei Jomir
Andreia Nunes
Andreia Nunes 
Andreia Oliveira
André Almeida
André Campos
André Catarino
André Cruz
André Freire
André Mendes
André Ramos
André Ramos
Angela Rizzo
Anthoney Pires
Anthoney Pires
Antonio Junior
Antonio Nobre
Antonio Nobre
António Fonseca 
António Joaquim
António Mendes
António Pimpão 
António Torres
António Vasconcelos
Armando Matos
Artur Roldão
Artur Santos
B BLON
Barrigó
Bashar Khabbaz
Bernardo Alves
Bimal Bhattarai
Bruno Amaro
Bruno Antunes
Bruno Cardoso
Bruno Caseiro
Bruno China
Bruno Gonçalves 
Bruno Lopes & João Martins 
Bruno Marques
Bruno Marques 
Bruno Matos
Bruno Silvério e Chef Pizzaiolo Miguel Castro
Bruno Viegas
Camilo Jana
Camilo Jana
Camilo Jana
Camilo Jaña
Camilo Vecino
Carina Nobre
Carla Nunes
Carlo Coelho 
Carlos Afonso
Carlos Ah Chak
Carlos Contardi
Carlos Correia
Carlos Guerreiro
Carlos Guerreiro
Carlos Guerreiro
Carlos Guerreiro
Carlos Guerreiro
Carlos Guerreiro
Carlos Monteiro
Carlos Vinagre e Luís Gomes
Carol Silva
Carolina Antony
Catarina Neves
Cavaleiro
Celeste Gaio
Celso Padeiro
Celso Padeiro
Cerveira do Amaral
Chackall
Chef Carlos Luzio
Chef Daniel Gomes
Chef Daniela Castello Branco
Chef Executivo Carlos Guerreiro
Chef Executivo Carlos Guerreiro
Chef Fátima Rebocho
Chef Guilherme Sousa
Chef Henrique Sampaio Ferreira
Chef Hugo Dias
Chef José
Chef José Maria Gomes
Chef Karol
Chef Luís Magalhães
Chef Malik
Chef Michael Toledo
Chef Milton Ferreira
Chef Miraela
Chef Miraela
Chef Morais
Chef Philip Brunner
Chef Rui Rebelo
Chef Rui Rebelo
Chef Sandro & Chef Nanda
Chef Silvino Gonçalves
Chef Simão Leal
Chef Vini Lisboa
Chef Vini Lisboa
Chef Vitali
Chef Vitali
Chef Vítor Cruz Ribeiro
Chef da Casa
Chef jassi
"Chefe ""Mendes"""
"Chefe ""Mendes"""
Chefe Bernardo
Chefe David Inácio
Chefe Eulitério de Assunção
Chefe Executivo Armando Paulino e Francisco Guerreiro
Chefe Mathew Maia
Chefe Márcio Silva
Chefe Márcio Silva
Chefe Simoes
Chefe Simoes
Chefe Tiago
Chefe Tiago
Chefes Esteves Pereira e Dona Maria Gomes
Christian
Christian D'Angelo
Cidália Domingos
Ciro Piedimonti
Ciro Piedimonti
Claudia Martins
Claudio Silame
